"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
37	0	0	0	1	0	0	0	0	8	0			0	0	39	0	0	0											0	0	0	0			0	0	1	0	1	0			0	0	0	0	0	0	0	0				34	2	4	4	
242	0	0	0	0	0	0	0	0	5	0			0	0	4	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	4	5	
279	0	0	0	0	0	0	0	0	9	6			0	0	15	0	0	0											0	0	0	0			0	0	0	0	0	0			10	0	0	0	0	0	0	0				0	2	5	1	
354	0	0	0	0	0	0	0	0	5	0			0	1	27	0	0	0						0				1	0	0	0	0			0	0	0	0	15	0			0	0	0	0	0	0	0	0				4	2	8	2	
457	0	0	0	0	0	0	0	0	6	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	6	
505	0	0	0	0	0	0	0	0	128	19		0	0	0	445	26	0	3		0	0		0	0	0		0	0	0	0	0	0			0	0	80	0	194	0			0	0	0	0	0	0	188	0	0	0		32	28	2	1	
1155	0	0	0	0	0	0	0	0	4	1			0	1	285	0	0	54						0				0	0	0	0	0			5	0	0	0	17	0			0	0	0	0	204	0	0	0				0	0	5	2	
1351	0	0	0	0	0	0	0	0	33	1			0	5	34	16	0	3						0				5	0	0	0	0			0	0	2	0	0	0	0		0	0	0	0	0	0	0	0				15	25	0	0	
1454	0	0	0	0	0	0	0	0	28	14		0	0	2	19	1	0	6		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	1	0	0	0	0	0		0	1	11	11	
1557	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0				0	0	0	0	
1669	0	0	0	0	0	0	0	0	44	0			0	0	376	20	0	0											0	0	0	0			0	0	0	0	48	0			0	0	0	0	0	0	250	0				1	1	57	43	
1829	0	0	0	0	0	0	0	0	11	6		0	0	0	100	96	0	0		0	0		0	0	0		0	0	0	0	0	1			3	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	1	4	
1856	0	18	0	0	0	0	0	0	23	0			0	0	2	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	5	2	0	
2040	0	0	0	0	0	0	0	0	32	4			0	0	272	0	0	0											0	0	16	0			13	4	0	1	137	0			90	0	0	0	0	0	0	3				2	0	14	20	
2161	0	0	0	0	0	0	0	0	10	0			0	0	22	0	0	0						0				0	0	0	0	0			7	1	0	0	0	0			0	0	0	0	0	0	0	0				10	7	5	2	
2376	0	0	0	0	0	0	0	0	0	0		0	0	0	2467	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	455	0	0	0	2012	0	0	0		0	0	0	0	
2554	0	0	0	0	0	0	0	0	20	0			0	20	1	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				1	0	0	0	
2732	0	0	72	13	0	0	0	0	21	4		0	0	0	788	225	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	491	0	0	2	0	0	0	0		0	2	0	0	
2750	0	0	0	0	0	0	0	0	0	0			0	0	35	14	0	0						0				0	0	0	0	0			0	0	0	0	2	0			0	0	0	0	0	0	0	0				16	0	3	0	
3252	10	0	0	0	0	0	0	0	173	21			0	36	377	110	0	22						22				28	0	0	0	0			0	0	2	0	1	0			0	0	50	1	0	0	0	0				30	12	154	101	
3458	0	0	0	0	4	9	0	0	12	1			0	0	14	2	0	0						0				0	0	0	0	0			0	0	1	0	7	0			0	0	0	0	0	0	0	0				0	0	1	1	
3720	0	0	0	0	0	0	0	0	0	0			0	0	7	5	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				1	0	1	0	
3953	0	0	0	0	0	0	0	0	11	8			0	0	27	19	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				8	3	0	0	
